Gene_acc,Gene_id,m_DD8,m_HCZ,FC2,INT2,Desc,pg_index
0,LdBPK_190040,6.331844623856577,6.248150821021859,-0.2780247950046153,6.289997722439218,histone H2B,0
1,LdBPK_211170,6.09487711340221,6.024104364875823,-0.23510198168220242,6.059490739139017,"histone H2A, putative",1
2,LdBPK_191480,3.8051466168787207,4.12809325020454,1.0728054943943306,3.9666199335416303,mitogen-activated protein kinase 4,2
3,LdBPK_170170,6.416259680854624,6.63012502187857,0.7104452848701115,6.523192351366597,elongation factor 1-alpha,3
4,LdBPK_210020,6.253114877913052,6.2895860825278795,0.12115471926437849,6.271350480220466,histone H4,4
5,LdBPK_150010,6.253114877913052,6.2895860825278795,0.12115471926437849,6.271350480220466,histone H4,4
6,LdBPK_120490,5.32279273117915,5.498535814833365,0.5838058870730762,5.410664273006257,glucose-6-phosphate isomerase,5
7,LdBPK_130330,6.791850189922969,6.8076645257821005,0.05253408659243419,6.799757357852535,alpha tubulin,9
8,LdBPK_131120,5.610120632185049,5.623242806403973,0.04359091920385083,5.616681719294512,"40S ribosomal protein S4, putative",10
9,LdBPK_120661,3.525502223672797,4.5684000821221025,3.464431696080611,4.046951152897449,"hypothetical protein, conserved",11
10,LdBPK_160450,3.5389030709452465,3.6897092982033146,0.5009674432125468,3.6143061845742803,"fucose kinase, putative",13
11,LdBPK_161510,5.695537417809249,5.989698346539867,0.9771814535683987,5.842617882174558,paraflagellar rod protein 2C,15
12,LdBPK_220650,4.230891538843461,4.436644136771271,0.6834953356524558,4.3337678378073665,"hypothetical protein, conserved",16
13,LdBPK_270220,3.257755528192904,3.670808239606941,1.3721314067156918,3.4642818838999228,"hypothetical protein, conserved",17
14,LdBPK_270230,4.153484027496816,4.274595936505571,0.4023250531616238,4.214039982001193,"hypothetical protein, conserved",18
15,LdBPK_271350,4.282914701022798,4.497550759936858,0.713005554282514,4.390232730479828,"Snf7, putative",20
16,LdBPK_271490,3.3663459608144,3.5086906641058446,0.4728588690222555,3.4375183124601225,"hypothetical protein, conserved",21
17,LdBPK_020670,3.9325151690443882,3.9823917394441475,0.16568638048758721,3.957453454244268,"hypothetical protein, conserved",22
18,LdBPK_251210,6.25362867379509,6.300191644890302,0.15467884186261216,6.276910159342696,"ATP synthase subunit beta, mitochondrial, putative",23
19,LdBPK_291610,2.5430748160998458,2.7319272342491443,0.6273541536375706,2.637501025174495,"major facilitator superfamily, putative",24
20,LdBPK_020680,5.356424322997944,5.182448742876185,-0.5779343674307924,5.269436532937064,"ATP-dependent Clp protease subunit, heat shock protein 78 (HSP78), putative",25
